pt316,5929900.3259,2243720.9489,169.7977,z
pt317,5929897.7860,2243724.0714,169.7314,ku
pt318,5929892.4811,2243714.1100,169.8307,op
pt319,5929897.1023,2243708.9942,169.7449,j10
pt320,5929893.1040,2243716.8470,169.6945,j10
pt321,5929884.6801,2243724.2353,169.6792,z
pt322,5929881.8960,2243728.5495,169.5747,z
pt323,5929879.1293,2243735.2822,169.5036,op
pt324,5929890.6028,2243736.4022,169.8223,z
pt325,5929889.2869,2243738.8609,169.9093,z
pt326,5929889.4054,2243738.9914,169.9346,z
pt327,5929888.0784,2243740.4134,169.8565,z
pt328,5929885.6844,2243743.7718,169.7972,z
pt329,5929877.3486,2243738.1734,169.1662,fr
pt330,5929875.6317,2243740.7326,169.3133,fr
pt331,5929873.8746,2243743.3739,169.3543,fr
pt332,5929883.5560,2243747.0838,169.6705,z
pt333,5929883.8003,2243747.2229,169.6413,z
pt334,5929872.4924,2243743.2839,169.5064,z
pt335,5929872.2690,2243743.1572,169.7452,z
pt336,5929880.0566,2243752.2915,169.5490,z
pt337,5929879.5238,2243753.0140,169.5447,z
pt338,5929877.0675,2243756.8524,169.4788,z
pt339,5929877.3046,2243757.0323,169.4000,z
pt340,5929876.2884,2243758.0032,169.4155,z
pt341,5929875.0203,2243759.2297,169.3413,z
pt342,5929874.4333,2243760.1162,169.2711,z
pt343,5929869.9652,2243747.0453,169.5763,gaz
pt344,5929871.0705,2243746.7420,169.5937,kj8
pt345,5930009.6803,2243674.7601,171.0292,j4
pt346,5930005.5385,2243683.2067,171.0845,j4
pt347,5930003.8543,2243681.3802,171.0338,gaz
pt348,5930002.8615,2243683.7254,171.0607,z
pt349,5930002.4144,2243684.5730,171.0189,z
pt350,5930009.4550,2243692.9176,171.1474,kol
pt351,5930009.8146,2243692.1540,171.1139,z
pt352,5930007.6190,2243696.3942,171.1417,z
pt353,5929997.8823,2243694.3959,171.2414,kol
pt354,5929999.5750,2243690.1427,171.1293,z
pt355,5929999.3932,2243690.0996,171.0642,z
pt356,5930001.2069,2243691.5882,171.4838,j4
pt357,5929997.1862,2243700.1212,171.4766,j4
pt358,5929997.9797,2243694.3288,171.5126,kol
